station,trial,length_m,t10_s,period_s
A,1,0.4157,12.56,1.256
A,2,0.4157,12.85,1.285
A,3,0.4157,12.60,1.260
A,4,0.4157,12.65,1.265
A,5,0.4157,12.81,1.281
A,1,0.6177,15.56,1.556
A,2,0.6177,15.63,1.563
A,3,0.6177,15.60,1.560
A,4,0.6177,15.53,1.553
A,5,0.6177,15.66,1.566
A,1,0.8107,17.78,1.778
A,2,0.8107,18.07,1.807
A,3,0.8107,18.37,1.837
A,4,0.8107,18.03,1.803
A,5,0.8107,17.91,1.791
A,1,1.0187,19.90,1.990
A,2,1.0187,20.28,2.028
A,3,1.0187,20.04,2.004
A,4,1.0187,20.09,2.009
A,5,1.0187,20.07,2.007
A,1,1.2067,21.79,2.179
A,2,1.2067,22.00,2.200
A,3,1.2067,21.91,2.191
A,4,1.2067,21.53,2.153
A,5,1.2067,21.69,2.169
B,1,0.4157,12.28,1.228
B,2,0.4157,12.46,1.246
B,3,0.4157,12.26,1.226
B,4,0.4157,12.27,1.227
B,5,0.4157,12.38,1.238
B,1,0.6177,15.33,1.533
B,2,0.6177,15.15,1.515
B,3,0.6177,15.40,1.540
B,4,0.6177,15.33,1.533
B,5,0.6177,15.60,1.560
B,1,0.8107,17.76,1.776
B,2,0.8107,17.81,1.781
B,3,0.8107,17.69,1.769
B,4,0.8107,17.63,1.763
B,5,0.8107,18.02,1.802
B,1,1.0187,20.10,2.010
B,2,1.0187,20.32,2.032
B,3,1.0187,20.36,2.036
B,4,1.0187,20.23,2.023
B,5,1.0187,19.77,1.977
B,1,1.2067,21.74,2.174
B,2,1.2067,21.78,2.178
B,3,1.2067,21.86,2.186
B,4,1.2067,22.12,2.212
B,5,1.2067,21.98,2.198
C,1,0.4157,12.56,1.256
C,2,0.4157,12.45,1.245
C,3,0.4157,12.53,1.253
C,4,0.4157,12.46,1.246
C,5,0.4157,12.63,1.263
C,1,0.6177,15.29,1.529
C,2,0.6177,15.27,1.527
C,3,0.6177,15.30,1.530
C,4,0.6177,15.26,1.526
C,5,0.6177,15.30,1.530
C,1,0.8107,16.80,1.680
C,2,0.8107,16.93,1.693
C,3,0.8107,17.15,1.715
C,4,0.8107,16.91,1.691
C,5,0.8107,17.06,1.706
C,1,1.0187,19.80,1.980
C,2,1.0187,19.83,1.983
C,3,1.0187,19.83,1.983
C,4,1.0187,19.86,1.986
C,5,1.0187,19.83,1.983
C,1,1.2067,21.26,2.126
C,2,1.2067,21.42,2.142
C,3,1.2067,21.40,2.140
C,4,1.2067,21.31,2.131
C,5,1.2067,21.30,2.130
D,1,0.4157,12.57,1.257
D,2,0.4157,13.53,1.353
D,3,0.4157,12.83,1.283
D,4,0.4157,13.43,1.343
D,5,0.4157,12.80,1.280
D,1,0.6177,16.22,1.622
D,2,0.6177,15.58,1.558
D,3,0.6177,15.78,1.578
D,4,0.6177,15.65,1.565
D,5,0.6177,14.81,1.481
D,1,0.8107,18.07,1.807
D,2,0.8107,18.03,1.803
D,3,0.8107,17.91,1.791
D,4,0.8107,17.97,1.797
D,5,0.8107,18.00,1.800
D,1,1.0187,20.28,2.028
D,2,1.0187,20.94,2.094
D,3,1.0187,20.53,2.053
D,4,1.0187,20.32,2.032
D,5,1.0187,20.03,2.003
D,1,1.2067,22.22,2.222
D,2,1.2067,21.94,2.194
D,3,1.2067,22.40,2.240
D,4,1.2067,21.46,2.146
D,5,1.2067,22.13,2.213
E,1,0.4157,12.79,1.279
E,2,0.4157,11.74,1.174
E,3,0.4157,11.91,1.191
E,4,0.4157,11.93,1.193
E,5,0.4157,11.75,1.175
E,1,0.6177,13.76,1.376
E,2,0.6177,15.05,1.505
E,3,0.6177,15.37,1.537
E,4,0.6177,14.25,1.425
E,5,0.6177,14.85,1.485
E,1,0.8107,17.18,1.718
E,2,0.8107,17.05,1.705
E,3,0.8107,17.28,1.728
E,4,0.8107,17.25,1.725
E,5,0.8107,17.12,1.712
E,1,1.0187,20.28,2.028
E,2,1.0187,20.34,2.034
E,3,1.0187,20.03,2.003
E,4,1.0187,20.40,2.040
E,5,1.0187,20.07,2.007
E,1,1.2067,22.05,2.205
E,2,1.2067,22.02,2.202
E,3,1.2067,22.06,2.206
E,4,1.2067,22.17,2.217
E,5,1.2067,21.92,2.192
