tag,northing_m,easting_m,lat_deg,lon_deg,elev_rel_base_m,point_along_profile_m,time_est,time_since_beg_min,gravity_mgal,sd_mgal,is_base
base100e,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-04 18:29:00,-30,2530.879,0.0018,True
110,3104697.059,360392.983,28.060306,-82.420598,-0.015,110,2019-04-04 18:35:00,-24,2530.858,0.0024,False
base100f,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-04 18:40:00,-19,2530.881,0.0014,True
120,3104688.688,360387.676,28.06023,-82.420651,0.3,120,2019-04-04 18:47:00,-12,2530.798,0.0013,False
base100g,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-04 18:52:00,-7,2530.888,0.0017,True
130,3104680.317,360382.369,28.060154,-82.420704,0.555,130,2019-04-04 18:59:00,0,2530.764,0.0012,False
base100h,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-04 19:03:00,4,2530.889,0.0014,True
140,3104671.946,360377.062,28.060078,-82.420757,0.755,140,2019-04-04 19:10:00,11,2530.701,0.0014,False
base100i,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-04 19:15:00,16,2530.877,0.0007,True
150,3104663.575,360371.755,28.060002,-82.42081,1.13,150,2019-04-04 19:20:00,21,2530.606,0.0009,False
base100j,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-04 19:25:00,26,2530.886,0.0011,True
base100k,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-06 10:27:00,2368,2530.871,0.0017,True
160,3104655.204,360366.448,28.059926,-82.420863,1.305,160,2019-04-06 10:34:00,2375,2530.558,0.0014,False
base100L,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-06 10:43:00,2384,2530.872,0.0008,True
170,3104646.833,360361.141,28.05985,-82.420916,1.555,170,2019-04-06 10:54:00,2395,2530.489,0.0013,False
base100m,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-06 11:00:00,2401,2530.867,0.0016,True
180,3104638.462,360355.834,28.059773,-82.420969,2.376,180,2019-04-06 11:15:00,2416,2530.277,0.0008,False
base100n,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-06 11:23:00,2424,2530.886,0.0008,True
190,3104628.638,360349.746,28.059684,-82.42103,2.22,190,2019-04-06 11:30:00,2431,2530.317,0.0024,False
base100o,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-06 11:46:00,2447,2530.873,0.0013,True
200,3104620.467,360344.838,28.05961,-82.421079,2.355,200,2019-04-06 11:54:00,2455,2530.305,0.0017,False
base100p,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-06 12:04:00,2465,2530.867,0.0012,True
90,3104713.801,360403.597,28.060458,-82.420492,0.265,90,2019-04-06 12:19:00,2480,2530.849,0.0012,False
base100q,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-06 12:24:00,2485,2530.896,0.0007,True
80,3104722.172,360408.904,28.060534,-82.420439,0.625,80,2019-04-06 12:30:00,2491,2530.735,0.0015,False
base100r,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-06 12:40:00,2501,2530.885,0.0011,True
70,3104730.543,360414.211,28.060611,-82.420386,0.55,70,2019-04-06 12:46:00,2507,2530.773,0.0016,False
base100s,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-06 12:52:00,2513,2530.899,0.0009,True
60,3104738.914,360419.518,28.060687,-82.420333,0.535,60,2019-04-06 13:02:00,2523,2530.774,0.0017,False
base100t,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-06 13:07:00,2528,2530.903,0.0012,True
50,3104747.285,360424.825,28.060763,-82.42028,0.485,50,2019-04-06 13:13:00,2534,2530.783,0.0017,False
base100u,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-06 13:18:00,2539,2530.89,0.0017,True
base100v,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-18 15:52:00,19973,2530.776,0.0018,True
40,3104755.656,360430.132,28.060839,-82.420227,0.485,40,2019-04-18 15:59:00,19980,2530.645,0.0014,False
base100w,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-18 16:03:00,19984,2530.775,0.0009,True
30,3104764.058,360435.526,28.060915,-82.420174,0.555,30,2019-04-18 16:14:00,19995,2530.65,0.0013,False
base100x,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-18 16:22:00,20003,2530.762,0.0002,True
20,3104772.575,360440.841,28.060993,-82.420121,0.57,20,2019-04-18 16:33:00,20014,2530.645,0.0012,False
base100y,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-18 16:42:00,20023,2530.779,0.0012,True
10,3104781.014,360446.165,28.061069,-82.420067,0.695,10,2019-04-18 16:51:00,20032,2530.6,0.0013,False
base100z,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-18 16:57:00,20038,2530.776,0.0014,True
0,3104789.404,360451.423,28.061146,-82.420015,1.16,0,2019-04-18 17:04:00,20045,2530.502,0.0013,False
base100aa,3104705.43,360398.29,28.060382,-82.420545,0.0,100,2019-04-18 17:12:00,20053,2530.765,0.0018,True
