station,time,minutes_since_start,elevation_m,reading_mgal,relative_mgal,uncertainty_mgal
Ground level,10:53:00,0.0,0.0,3423.43,0.0,0.003
0.5,11:04:00,11.0,0.89,3423.274,0.156,0.007
1,11:12:00,19.0,2.6,3422.897,0.533,0.002
1.5,11:18:00,25.0,4.34,3422.472,0.958,0.002
2,11:23:00,30.0,5.69,3422.086,1.344,0.001
2.5,11:26:00,33.0,7.94,3421.075,2.355,0.001
3,11:30:00,37.0,10.17,3420.786,2.644,0.001
3.5,11:32:00,39.0,12.46,3420.099,3.331,0.002
4,11:36:00,43.0,14.7,3419.437,3.993,0.002
4.5,11:45:00,52.0,15.89,3419.069,4.361,0.008
gound level,12:01:00,68.0,0.0,3423.507,-0.077,0.002
